year,month,day,title,director,cast,genre,href,gross(RM),Budget(Rm)
2015,4,16,Agileswari,Roy Krishnan,"Jeeva Uthaya, Vikneswary",Horror / Crime,RM Vision Film Production,[23],
2015,4,23,Selfie Suara Kubur,M. Subash Abdullah,"Mak Jah, Kay Shan, Aiza, Sue, Adie Black",Horror / Crime / Drama,,,
2015,4,23,Avana Nee,Logaruban Loganathan,"Logaruban Loganathan, Vithya Perumal, Ashwin Kaur, Rai Jacintha, Krishnamurthy Rameshwara, Sures Kumar@VSK Thinaharan, Nilasyah Rebecca. Guna, Sara Roshan, Tashmaishree",Comedy,D'Cinema,[24],
2015,4,30,Pilot Cafe,Osman Ali,"Fahrin Ahmad, Izara Aishah, Neelofa, Remy Ishak, Keith Foo, Eizlan Yusof, Dian P. Ramlee, Rosnah Johari, Zaidi Omar, Hafizzudin Fadzi",Drama / Romance,Astro Shaw / Tarantela Pictures,,
2015,4,30,Road of Enlightenment,Lai Kim Moon,"Michael Liew, Crystal Ong, Darren Tung, Wilson Tin, Brendan Yuen",Crime / Drama,,,
2015,5,7,Jalan Puncak Alam,Dharma Aizat,"Azwan Kombos, Epy Kodiang, Shafiez, Nizam Zaidi",Horror,Mangkin Prestij,[28],
2015,5,7,KID,Praboo Ariva,"Jarrel Yeo, Shashi Anbah, Arun Chandran, Sarankumar, Kesavan Krishnamurthi",Crime,Fenomena Seni Produksi,,
2015,5,14,Suami Aku Ustaz,Ghaz Abu Bakar,"Adi Putra, Nora Danish, Izzue Islam, Betty Rahmat",Drama / Romance,,,
2015,5,21,Jendela,M. Subash Abdullah,Ruminah Sidek,Family / Mystery,Karyaseni Production,[30],
2015,5,21,Dia,"M. Jamil, Rizal Halim","M. Jamil, Mayumi Kasuga, Sofea Shaheera, Zamil Sadiq, Amirulshah Rozali",Horror / Mystery,Galaksi Seni,[31],
2015,5,28,Oh! La La,Abdul Rahman Sallehuddin,"Syed Atiq, Nur Nazliah, Mohd Juhan",Animation / Musical,[32],,
2015,5,28,Gamatisme,Yeop Hitler,"Syazwan Zulkifli, Nabila Huda, Adeline Tsen",Horror,Infinite Motion,[33],
2015,6,4,Wira Wah,"Lee Lik-Chi, Brando Lee","Auguste Kwan, Mimi Chu, Crystal Lee, Dato' Lai Meng, Cathryn Lee, Michael Tong",Comedy,12 B,,
2015,6,4,Darah Panas,Arjinder Singh,"Sharnaaz Ahmad, Sofi Jikan, Nur Fathia, Adam Corrie, Jalaluddin Hassan",Action / Romance,White Merpati Entertainment,[36],
2015,6,11,Love Endures,Jovi Theng,"Liu Kai Chi, Emily Kong, Jovi Theng",Family / Romance,Kingdom Works,,
2015,6,18,Papa's Shoe,M. Subash Abdullah,Veron Lin,Drama / Family,,[37],
2015,6,25,Hold Me Tight,Ivy Too,"Remon Lim, Jazz Bai Lin, Yap Chin Fong, Wong Kam Tat",Drama,Mandarin-language film,,
2015,7,2,Vere Vazhi Ille,M. S. Prem Nath,"Denes Kumar, Jasmine Micheal, Kristina Vinokree",Horror / Comedy,,,
2015,7,2,Courage to Dream,David Liew,"Koo Seow Choo, Lee Kwai Ying, Lee Yuen Yee, Wong Ker Fong",Family / Romance,Mahligai Masyhur,[40],
2015,7,17,Suamiku Jatuh dari Langit,Eyra Rahman,"Qi Razali, Nora Danish, Shuk SYJ, Atikah Suhaimie",Comedy,Tamil-language film,,
2015,7,17,Gangsterock: Kasi Sengat,Sofi Jikan,"Saiful Apek, Sofi Jikan, Izara Aishah, Aqasha, Khir Rahman, Sharifah Amani, Julia Ziegler, Syafie Naswip",Action / Drama,YKS Film Maker,,
2015,7,30,CCTV,Daven R.,"Aeril Zafrel, Hasnul Rahmat, Ardel Aryana, Jeff Omar",Horror,,,
2015,8,6,"Ciliwung, Gudnite",Dede Ferdinan,"Maria Farida, Dewi Amanda, Rya Nightingale, Ferly Putra",Horror / Drama / Romance,Sheunik,[45],
2015,8,13,Nota,Yasu Tanaka,"Hans Isaac, Maya Karin, Ramli Hassan, Rin Izzumi",Crime / Drama / Mystery,42nd Pictures,[46],
2015,8,20,Misi Rayyan dan Danish: Jangan Ambil Rumah Kami,Azaromi Ghozali,"Intan Ladyana, Azwan Kombos, Hanif Safuan, Sharisa Haris",Comedy,Mangkin Prestij,[47],
2015,8,20,The Noise,Adrian Teh,"Adrian Teh, Lenna Lim, Phoebe Huang",Mystery / Romance,Asia Tropical Films,,
2015,8,20,,,,Mandarin-language film,,,
2015,8,27,Jejak Warriors,Saw Teong Hin,"Pekin Ibrahim, Nadiya Nisaa, Alif Firdaus, Harun Salim Bachik, Fauziah Ahmad Daud, Bell Ngasri, Sabri Yunus, Khairul Fahmi Che Mat, Amir Raja Lawak, Shuk SYJ",Family,,,
2015,9,3,Usop Wilcha: Menghonjang Makhluk Muzium,Mamat Khalid,"Usop Wilcha, Elizabeth Tan, Nasir Bilal Khan, Namron, Hitler Zami, Kamarol Yusof",Horror / Comedy / Fantasy,Mounting Board Productions,[50],
2015,9,10,Bravo 5,Yeop Hitler Zami & Fauzi Nawawi,"Beto Kusyairy, Remy Ishak, Shashi Tharan, Xavier Fong, Frank Peterson, Sofi Jikan, Hattan, Fizz Fairuz, Zul Huzaimy, Kamal Adli, Adam Corrie",Action,Karya Firma Production,[51],
2015,9,10,Tortured Souls,M. Subash Abdullah,"Yuki, Edmond, Francis Chong",Family / Mystery,Dream Pix Media,[52],
2015,9,17,Kapsul,Martias Ali,"Faizal Hussein, Rahim Razali, Kamarul Hassan, Adlin Aman Ramlie, Joey Daud, Jue Aziz, Haerianto Hassan, Harun Salim Bachik, Ahmad Tarmimi Siregar, Adam Corrie",Fiction,Two Tones,,
2015,9,17,Polis Evo,Ghaz Abu Bakar,"Shaheizy Sam, Zizan Razak, Nora Danish, Mimie Ernida, Wan Hanafi Su, Pablo Amirul, Amerul Affendy, Harun Salim Bachik",Action / Comedy / Crime,Astro Shaw,17.74 million,2.4 million
2015,9,24,Girlfriend Kontrak,Virginia Kennedy,"Keith Foo, Nur Risteena, Azad Jazmin, Bront Palarae, Fara Fauzana",Drama / Romance,Primeworks Studios,,
2015,9,24,Jwanita,Osman Ali,"Maya Karin, Bront Palarae, Cristina Suzanne Stockstill, Marsha Milan Londoh, Umie Aida",Horror,,[55],
2015,10,1,Pontianak Menangis,Ismail Jejaka,"Rahim R2, Yassin, Hamdan Senario",Horror,Heart N Soul,[57],
2015,10,8,Rembat,Shamly Othman,"Shaheizy Sam, Aniu, Zizan Razak, Zara Zya, Sam Chong, Arja Lee",Action / Comedy,Marna Films Grand Brilliance Red Films,[58],
2015,10,8,Maravan,SD Puvanendran,"Kumaresh, Haridass, Denes Kumar, Kavitha Thiagarajan, Logan, Seelan, Pushpa Narayan, Sangeeta Krishnasamy",Action / Drama / Family / Thriller,Golden Peacock Film Production,,
2015,10,15,Badi,Eyra Rahman,"Adibah Yunus, Azwan Kombos, Rashidah Jaafar",Horror,,,
2015,10,15,Death Trip,Billy Tang,"Victor Wong, Zeng Yong Xing, Chan Chee Hong",Horror / Crime / Mystery,Asia Tropical Films,[60],
2015,10,22,"Love, Supermoon",Wan Hasliza,"Nadiya Nisaa, Farid Kamil, Rita Rudaini, Anne Ngasri, Fizz Fairuz, Zain Saidin",Comedy / Drama,Grand Brilliance,,
2015,10,22,Muthukumar Wanted,M. Pathmanaban,"Sarran SK, Nazira Ibrahim, Haridass, Robo Shankar",Romance / Action,MERP Film Factory,[63],
2015,10,29,Juvana 2: Terperangkap Dalam Kebebasan,Faisal Ishak,"Johan As'ari, Zahiril Adzim, Shera Aiyob, Pekin Ibrahim, Hasnul Rahmat",Action,Filmscape,[62],
2015,10,29,Iravan,Kash Villanz,"Kash Villanz, K.S Maniam, Darkkey, Devika Raghavakrishnan, Maney Villanz",Action / Family / Romance / Musical,,,
2015,11,5,Mirip,Jokin,"Fezrul Khan, Ezzaty Abdullah, Reen Rahim",Musical / Romance / Thriller,Green Screen Production,[66],
2015,11,12,Biasan,Sandosh Kesavan,"Mas Khan, Lana Nordin, Jalaluddin Hassan, Emma Akan",Romance,Janu Talkies,[67],
2015,11,12,Find My Dad,Euho,"Victor Wong, Jeanette Aw, Ha Yu, Mini Bin",Drama / Family / Romance,Asia Tropical Films,,
2015,11,19,Ada Apa Dekat Bus Stop,Ikhzal Azfarel Ideris,"Abam Bocey, Tauke Jambu, Leez AF, Meor Oh Chentaku, Airis Yasmin, Kazar, Zaibo, Erwan Razak",Comedy,Katak Hijau Entertainment,[69],
2015,11,26,Banglo Berkunci,Dharma Aizat,"Nur Fathiah Diaz, Adibah Yunus, Fadlan Hazim, Sheikh Zulhamy Reza, Intan Ladyana",Horror,Mangkin Prestij,[70],
2015,11,26,Sinaran,Osman Ali,"Lisa Surihani, Evan Sanders, Izara Aishah, Syarif Sleeq, Nadiah M.Din, Sheila Majid",Musical,,,
2015,12,3,Chowrasta,Abdul Razak Mohaideen,"Cheem Ammar, Nora Danish, Rosyam Nor, Fauzi Nawawi",Romance / Action / Comedy / Drama,Nation Film Studio,[72],
2015,12,3,Paint My Love,Jen B,"Sam, Fuying, Ribbon Ooi, Eric Lin",Drama,Mahu Pictures,,
2015,12,10,Keranda Tok Wan Terbang,Hashim Rejab,"Yassin Yahya, Rahim R2, Shuk SYJ, Shima Anuar, Mak Jah, Epy Kodiang",Horror / Comedy,,,
2015,12,10,Who's Your Daddy,Boris Boo,"Tedd Chan, Luke Lok, Jeanna Ho Pui Yu, Chelsia Ng",Comedy / Drama / Family,Double Vision,[74],
2015,12,17,Nanchathiran,,,Drama / Family,[75],,
2015,12,17,Jagat,Shanjhey Kumar Perumal,"Jibrail Rajhula, Harvind Raj, Kuben Mahadevan, Aahmuu Thirunyanam",Action / Crime / Drama,Skyzen,,
2015,12,24,Mat Moto,Ahmad Idham,"Niezam Zaidi, Shenthy Feliziana, Along Eyzendy, Qaralyana",Action / Comedy,Dream Pix Media,[76],
2015,12,24,Isteri untuk Dijual,Eyra Rahman,"Kamal Adli, Nora Danish, Azwan Kombos",Romance,Mangkin Prestij,[79],
2015,12,31,Apartment,Pierre Andre,"Kamal Adli, Naqia Nasution, Bil Azali",Horror,[77],,
2016,1,7,Langit Cinta,Osman Ali,"Fazura, Keith Foo, Farid Kamil, Siti Saleha, Jalaluddin Hassan, Fauziah Ahmad Daud",Drama / Family / Romance,Astro Shaw-Nuansa co-production,[1],
2016,1,14,Mat Moto: Kami Mat Moto Bukan Mat Rempit,Pekin Ibrahim & Syafiq Yusof,"Pekin Ibrahim, Felisha Grossley, Zul Huzaimy, Cat Farish, Syamsul Yusof, Shaheizy Sam, Faizal Hussein, Kamarol Yusoff",Drama / Romance,Skop Productions-Viper Studios co-production,[2],
2016,1,21,Kastil Tua,Sabree Fadzil & Chiska Doppert,"Samantha Katie, Ajun Perwira, Josiah Hogan, Kimberly Ryder, Alina Saraswati",Horror / Adventure / Drama / Historical / Mystery,Fimtab Unik-Capitol Entertainment co-production,[3],
2016,1,28,Ola Bola,Chiu Keng Guan,"Chee Jun Cherng, Muhd Luqman Hafidz, Mohamad Taufiq, Saran Kumar, Marianne Tan, Katrina Ho, Bront Palarae, Frankie Lee",Drama / Sports,Films set at Kellie's Castle,,
2016,2,4,Pelepas Saka,Hashim Rejab,"Hanif Safuan, Hafiz Bahari, Lydia Izati, Esma Daniel, Fauzi Nawawi",Horror,Mangkin Prestij,,
2016,2,4,Special Forces,Michael Chuah,"Frankie Lee, KK Wong, Michael Chuah, Brendan Yuen",Action / Comedy,Evo Pictures,,
2016,2,4,Let's Eat,Chapman To,"Chapman To, Aimee Chan, C-Kwan, Lo Hoi-pang",Comedy,Mandarin-language film,,
2016,2,11,Huat The Fish,Silver Yee Teik Yin & Chieng Hein Onn,"Jack Lim, Jeff Chin, Juztin Lan, Alvin Chong, Wan Wai Fun, Bernard Hiew, Gan Mei Yan",Comedy / Drama / Family,Asia Tropical Films-Clover Films co-production,,
2016,2,18,Girl's Generation,"Aniu, Teddy Chin & Zhao Yu","Owodog, JC Chee, Royi, Yumi Wong SK, Keqing, Emily Kong",Comedy / Musical,,,
2016,2,25,Munafik,Syamsul Yusof,"Syamsul Yusof, Nabila Huda, Sabrina Ali, Pekin Ibrahim, Fizz Fairuz",Horror,,19.04 million,1.6 million
2016,3,3,BoBoiBoy: The Movie,Nizam Razak,"Nur Fathiah Diaz, Nur Sarah Alisya, Yap Ee Jean, Dzubir Mohamed Zakaria, Wong Wai Kay, Mohd Fathi Diaz, Azman Zulkiply, Mohd Hafiz Ashraf, Anas Abdul Aziz",Action / Animation,Animonsta Studios,[11],
2016,3,3,Ais Kosong,Manan Subra,"Alvin Martin, Sasikumar, Anu Ramamoorthy, Sangabalan, Shamini Ramasamy, Kristina Vinokree, Nanthakumar, Pradeep Singh, Sivakumar",Adventure / Comedy,MS Digital Studio,,
2016,3,10,The Kid from the Big Apple,Jess Teong,"Tommy Tam, Tan Qin Lin, Jason Tan",Drama / Family,Three Production,,
2016,3,10,Usin UFO,Zul Yahya,"Shuib Sepahtu, Puteri Sarah Liyana, Liza Abdullah, Aisyah Ilias",Comedy / Fantasy / Science fiction,Cahaya DJ Pictures,[13],
2016,3,10,It's The Moment Yang Arif,S. T. Bala,"Ross Hassan, Suriana Abdul Wahab (Keena Mentor), Jacob Rabindranath, K. Balakumaran",Crime / Thriller,Fenomena Seni Produksi,,
2016,3,17,Kipidapp! Selamatkan Hari Jadi,Eyra Rahman,"Rani Kulup, Atikah Suhaimie, Hafreez Adam, Aizat Hassan, Kartina Aziz",Comedy,[14],,
2016,3,31,Warna Cinta Impian,N. S. Krishna,"Erwin Dawson, Awie, Erra Fazira, Azlee Khairi, Nazeera Sardi, Fad Bocey, Shiqin Kamal",Romance,[15],,
2016,4,7,Showdown The Movie,Khairil M. Bahar,"Reza Hasbi, Izara Aishah, Iedil Putra, Azad Jasmin, Maria Farida",Dance / Drama,Grand Brilliance-Lightbulb Pictures co-production,[18],
2016,4,14,Redha,Tunku Mona Riza,"Namron, June Lojong, Harith Haziq, Izzy Reef, Nadiya Nisaa, Remy Ishak, Ruminah Sidek, Susan Lankester",Drama / Family,Current Pictures,[19],
2016,4,21,Lu Mafia Gua Gangster,Roy,"Shafiq Razlan, Kumpulan Zero, Jalaluddin Hassan, Zack Taipan, Along Azendy, Saiful Apek, Zul Arifin, Zaibo, Syanie",Comedy / Action / Crime / Romance,Red Fires Film Production,,
2016,4,28,Perjanjian Syaitan,M. Subash Abdullah,"Ahmad Tarmimi Siregar, Imuda, Mak Jah",Horror / Drama / Mystery,,[20],
2016,5,5,Harmonika,Raja Mukhriz Raja Ahmad Kamaruddin,"Elizad Sharifuddin, Ahya Rosli, Normah Damanhuri, Nurul Fateha, Aini Batrisya, Jonathan Putra, Riezman Khuzaimi, Taznisa J",Horror / Mystery,SPS Jaya,[22],
2016,5,12,Judi-Judi King Boss,Julian Cheah,"Julian Cheah, Gana, Zhi Qian, Syalmizi Hamid, Syarmila Rastam, Sean Ho, Al Chan, Peter Jackson, Franciscus Nithya, Murali Ramakrishnan, Clovis Chew, Narvinderjit Singh, Tasvinder Sandher, Kash Rhal, Angel Ong, Sugeindhiran Sagotharan, Jude Jasvin Joseph, Remy Ismail, Ismail Ishak, Wesley Yeoh",Comedy,Julian Cheah Pictures,[23],
2016,5,19,Cendol: Kepada Allah Aku Berserah,M. Subash Abdullah,"Ma’arof, Farwizah, Zack Idris",Drama,English / Malay / Mandarin / Tamil / Hokkien / Punjabi-language film,,
2016,5,19,My Stupid Boss,Upi Avianto,"Reza Rahadian, Bunga Citra Lestari, Alex Abbad, Chew Kinwah, Bront Palarae, Atikah Suhaimie, Iskandar Zulkarnain",Comedy,Skop Production,[24],
2016,5,26,Old Town Story,Lai Kim Koon,"Alan Chung, Peter Chan, Andy Khor, Iky Loke, Brendan Yuen, Johannes Koo, Namewee, Chee Cheng Hoe",Drama / Family,[25],,
2016,6,9,Mayangaathey,C. Kumaresan,C. Kumaresan / Shaila Nair,Comedy / Horror,,,
2016,7,6,Anak Mami Nasi Kandaq,Abdul Razak Mohaideen,"Qi Razali, Fasha Sandha, Nur Risteena, Ezzaty Abdullah, Maria Farida, Azmir RL, Chik Pak Man Telo, Sheila Mambo",Comedy,FiTA Studios-UiTM co-production,[28],
2016,7,14,Zack Kapcai,Rosli Mohd Taib,"Fad Bocey, Rahim Sepahtu, Shuk SYJ, Julia Marin",Comedy / Action,Metrowealth,[29],
2016,7,28,Dukun Doktor Dani,Sabri Yunus,"Taufik Batisah, Fasha Sandha, Raysha Rizrose, Amerul Affendi, Khatijah Tan",Comedy / Drama,,,
2016,8,4,Kampung Drift,Nevin Hiong,"Syafie Naswip, Pekin Ibrahim, Pablo Amirul, Fatin Afeefa Arian, Zalfa Zain, Chen Sin Foo, Puovin Sandera, Syazwan Yunos, Jazli Hassan",Action / Drama,Mico Studio-Empire Film Solution co-production,[31],
2016,8,11,Temuan Takdir,Dhyan Vimal,"Zahim Albakri, Ery Zukhairi, Azura Zainal, Vanida Imran, Amai Kamarudin, Thanuja Ananthan",Crime / Thriller,Zazen Production-Empire Film Solution co-production,[32],
2016,8,18,Chinese Ghost Story,Wong Tak Fung,"Jeff Chin, Bernard Hiew, Juztin Lan, Emely Poon",Comedy / Horror,Redribbon Experiences,[33],
2016,8,18,Mawar Putih,Rosnani Jamil,"Reen Rahim, Arja Lee, Triestan Aprilian, Cinta Dewi, Adli Eddynor",Drama / Romance,,,
2016,9,1,Pekak,Mohd Khairul Azri Md Noor,"Zahiril Adzim, Sharifah Amani, Iedil Putra, Sharifah Sakinah, Amerul Affendi, Zaidi Omar",Drama,Grand Brilliance-Lightbulb Pictures co-production,[35],
2016,9,8,Radhi Rudy bin Dadu,Arjin Uppal,"Sofi Jikan, Puteri Sarah, Taiyudin Bakar, Ezzaty Abdullah, Usop Wilcha, Khatijah Tan, Aziz Sattar, Adam Corrie",Action / Comedy,White Merpati Entertainment,[36],
2016,9,8,Aliff Dalam 7 Dimensi,Faisal Ishak,"Juliana Evans, Izzue Islam, Alif Satar, Kaka Azraff",Action / Horror,Astro Shaw,,
2016,9,15,Muluk dan Konco,Abdul Razak Mohaideen,"Azhari Zain, Saiful Apek, Yassin, Jalil Hamid, Sarah Hilderbrand",Comedy,FiTA Studios-UiTM co-production,[38],
2016,9,22,Volkswagen Kuning,Shadan Hashim,"Pekin Ibrahim, Atikah Suhaimie",Horror,MIG Productions,[39],
2016,9,22,Geethaiyin Raadhi,Shalini Muthusamy,"K. Karnan G Crak, Shalini Balasundaram, Vicran Elanggoven",Comedy,Vikadakavi,,
2016,9,29,Juvana 3: Perhitungan Terakhir,Faisal Ishak,"Zahiril Adzim, Johan Asari, Adam Shahz, Hasnul Rahmat, Pekin Ibrahim",Action / Drama,,,
2016,10,6,Mat Moto Otai,Ahmad Idham,"Eizlan Yusof, Ahmad Idham, Opie Zami, Cat Farish",Comedy / Action,AIFA Motion Pictures,[42],
2016,10,13,Kecoh! Primadona Kena Hantu,Pierre Andre,"Kamal Adli, Kamarul Yusoff, Khatijah Tan, Abam, Amir Raja Lawak",Horror / Comedy,Rainfilm,[43],
2016,10,27,Rock Bro!,Mamat Khalid,"Khir Rahman, Hasnul Rahmat, Pekin Ibrahim, Kaka Azraff, Sofi Jikan, Azmi Black, Amy Juliet",Comedy / Drama,,,
2016,11,24,Hanyut,U-Wei Haji Saari,"Peter O'Brien, Reeuben Alvin, Diana Danielle, Sofia Jane, Ady Putra, Alex Komang",Period Drama,Gambar Tanah Licin,[45],
2016,11,24,Upin & Ipin Jeng Jeng Jeng!,Ainon Ariff & Erma Fatima,"Awie, Puteri Balqis, Remy Ishak, Sara Ali",Animation / Comedy,,,
2016,12,1,Interchange,Dain Iskandar Said,"Iedil Putra, Shaheizy Sam, Nicholas Saputra, Prisia Nasution, Nadiya Nissa, Alvin Wong, Chew Kin Wah",Fantasy / Thriller,Apparat-Primeworks co-production,,
2016,12,8,Desolasi,Syafiq Yusof,"Syamsul Yusof, Bella Dally, Pekin Ibrahim, Jalaluddin Hassan",Science Fiction,Skop Productions,[48],
2016,12,24,Bo-Peng,Helmi Yusof,"Nabil Ahmad, Johan As'ari, Zulin Aziz, Fauzi Nawawi, Soffi Jikan",Comedy,Pencil Pictures and Records,[49],
2016,12,24,Happy Birth Death,Don Hoe,"Yana Samsudin, Jean Tan, Qian Kung, Yang BaoBei, Kean Chin",Horror,,,
2017,1,2,Dorm Melati,Eyra Rahman,"Aedy Ashraf, Nadia Aqilah, Aizat Hassan, Ardell Aryana",Horror,MIG Pictures,[1],
2017,1,19,Aku Bukan Spy,Danial Rifki,"Hamish Daud, Siti Saleha, Ray Sahetapy, Keith Foo, Shafira Umm, Nasha Aziz",Action / Romance,Sheunik,[2],
2017,1,26,Love From Kampung,Silver Yee,"Jack Lim, Jeff Chin, Emily Chan, January So",Comedy / Drama,MIG Pictures,[3],
2017,1,26,New Year Wish,Lee Sai Yew,"Sanny Lee, Debbie Loo, Michael Lieu",Drama / Family / Romance,,,
2017,2,2,Aku Haus Darah Mu,Aidilfitri Mohd Yunus,"Nad Zainal, Deanna Yusoff, Farhanna Qismina, Zoey Rahman",Horror,Tsar Asia,[5],
2017,2,2,Money Money Home,Bryan Gao,"Lai Meng, Henry Thia, Jovi Theng, Chen Puie Heng",Comedy / Family,Idea Entertainment,,
2017,2,9,I Am Lee Kah Seng,Benison Yong Keak Jya,"Steve Yap, Regine Tan, Marcus Yong",Comedy / Drama,,,
2017,2,16,Soulmate Hingga Jannah,Abdul Razak Mohaideen,"Taufik Batisah, Erra Fazira, Raja Ilya, Douglas Lim, Reen Rahim",Comedy / Romance,Benison Pictures,[7],
2017,2,23,Pak Pong,Fauzi Nawawi,"Hairul Azreen, Siti Saleha, Badrul, Fauzi Nawawi, Eizlan Yusof",Drama / Fantasy,Cantonese-language film,,
2017,3,2,J Revolusi,Mohd Zulkarnain Mohd Azhar,"Zul Ariffin, Izara Aishah, Nur Fazura, Farid Kamil, Azad Jasmin, Iedil Putra",Action / Drama,Infinitus Productions-Primeworks Studios co-production,[10],
2017,3,7,Henry of Malacca: A Malay and Magellan,Pedro Palma,"Aryan Farhan, Victor Gonçalves, Miguel Damião, João Vieira Pinto, Anísio Franco",Documentary,Yayasan DMDI,[11],
2017,3,9,Adiwira Ku,Eric Ong,"Sangeeta Krishnasamy, Xavier Fong, Wan Azlyn, Farra Safwan, Ahmad Adnin Zidane, Irdina Tasmin, Balqis Sani, Rizal Fahmi",Drama,Filmmecca Studio,[12],
2017,3,16,Kanang Anak Langkau: The Iban Warrior,Badaruddin Azmi,"Langgi Kanang, Adi Putra, Johan As'ari",Military / Action,Tangan Seni-K3X Production co-production,[13],
2017,3,16,Therapist,Don Hoe & Bryan Gao,"Jean Tan, Chai Cheng Sheong, Marcus Chang, Chen Puie Heng, Momoko Fern, Shaun Chen, Feon Lai",Horror / Thriller,Full Billion Entertainment,,
2017,3,16,Cerita-Cerita Didi And Friends,Sinan Ismail,"Nur Insyeerah, Muntazar Ghufran, Adam Muqri, Alia Safira",Animation,TGV Pictures,,
2017,3,23,Goodbye Mr. Loser,Adrian Teh Kean Kok,"Ian Fang, Mei Sim, Anjoe Koh, Phoebe Huang, Jack Lim, Jack Yap",Comedy,,,
2017,3,30,Kimchi Untuk Awak,Michael Ang,"Aiman Hakim, Emma Maembong, Janna Nick, Sharifah Sakinah, Ungku Haris, Natasha Elyzza, Dira Abu Zahar",Comedy / Romance,[15],,
2017,4,6,Sindiket,Badaruddin Azmi,"Sharnaaz Ahmad, Liyana Jasmay, Sharifah Amani, Daphne Iking, Rashidi Ishak, Soo Wincci, Tony Eusoff",Action / Crime,,,
2017,4,13,Hospital,Azaromi Ghazali,"Fatin Afeefa, Shima Anuar, Nina Iskandar, Fizz Fairuz",Horror / Thriller,Loyal Studios,[18],
2017,4,20,Kamar Seksa,M. Suurya,"Sazzy Falak, Noorkhiriah, Ieda Moin, Aiyuni Hashim",Drama,MIG Pictures,[19],
2017,5,4,You Mean the World to Me,Saw Teong Hin,"Frederick Lee, Neo Swee Lin, John Tan, Chelsia Ng, Chad O'Brien",Drama,Astro Shaw,[21],
2017,5,4,Lebuhraya Ke Neraka,Mamat Khalid,"Awie, Khir Rahman, Pekin Ibrahim, Miera Leyana, Shah Jaszle",Horror / Drama,,,
2017,6,8,RIP?,S.T. Bala,"Manan Subra, Suloshna Balan, S. S. Shivajee, Venumathi",Drama,Fenomena Seni Produksi,[23],
2017,6,25,Minah Moto,Ahmad Idham,"Dayana Roza, Ariz Lufias, Cat Farish, Julia Hana, Aliff Yasraf",Action / Comedy,Tamil-language film,,
2017,7,20,Kerja Kahwin,Anwardi Jamil,"Janna Nick, Rosnani Jamil, Shaharuddin Thamby, Ziema Din, Syed Ali, Aziz M. Osman, A. R. Badul",Comedy / Romance,Wayang Padu,[25],
2017,7,20,Puthiya Payanam,Kathiraven Subramaniam,"Raven, Lavysha, Yoga, Koghilan Suren",Action / Drama / Sports,SB Production,,
2017,7,27,Kau Yang Satu,Osman Ali,"Aaron Aziz, Izara Aishah, Soo Wincci, Hisyam Hamid, Zaidi Omar, Wan Hanafi Su",Romance,,,
2017,8,3,Maama Machan,RMS Sara,"Nithya Shree, BenG, RMS Sara.R, P Jegan, Mcva, Linges, Shamini, Kalpana Shree",Comedy,Boss Pictures,[28],
2017,8,3,Hijabsta Ballet,Syed Zul Tojo,"Puteh Maimun Zahrah, Betty Benafe, Aman Graseka, Aida Khalida",Drama,Explosive Magic,,
2017,8,10,Pencuri Hati Mr. Cinderella,Ahmad Idham,"Ahmad Idham, Atikah Suhaimie, Eizlan Yusof, Cat Farish, Faye Kusairi, Hairul Azreen, Haliza Misbun",Romance,[29],,
2017,8,17,Balun,Bob Singah,"Beto Kusyairy, Izara Aishah, Eizlan Yusof, Reen Rahim",Action,Aifa Motion Pictures,[30],
2017,8,24,Abang Long Fadil 2,Syafiq Yusof,"Zizan Razak, Syamsul Yusof, AC Mizal, Tania Hudson, Wak Doyok, Achey Bocey, Shuib Sepahtu, A. Galak, Mas Khan",Action / Comedy,Elements Pictures,18.15 million,3.2 million
2017,8,25,Vettai Karuppar Ayya,Amigoz Sugu,"GK, GpKay, Nanba Vijay, Gayathri",Drama / Horror / Mystery,D'Cinema,[32],
2017,8,31,Malay Regiment,Jurey Latiff,"Yus Waisar, Nad Zainal, Z.Zamri, Ahmad Tarmimi Siregar",Action,Preceded by Abang Long Fadil (2014),,
2017,8,31,Mendidih Bro,Z. Lokman,"Azrel Ismail, Julianna Evans, Marlyn Guinto, Yank Kassim, Adrea Abdullah, Z. Lokman, Amy Mastura",Adventure,,[33],
2017,9,7,Kau Takdirku,Jason Chong,"Ezzaty Abdullah, Bront Palarae, Remy Ishak",Drama / Romance,Primeworks Studios,[36],
2017,9,7,Mrs K,Ho Yuhang,"Kara Wai, Simon Yam, Wu Bai, Faizal Hussein",Action,[37],,
2017,9,14,Kolestrol vs Cinta,Eyra Rahman,"Tiz Zaqyah, Kamal Adli, Ardell Aryana",Romance,,,
2017,9,21,Bisik Pada Langit,Kabir Bhatia,"Jalil Hamid, Ummi Nazeera, Beto Kusyairy, Fadilah Mansor",Drama,MIG Pictures,[38],
2017,9,21,9.13 The Returning,David Thian Thor Wei,"Jean Tan, Steve Yap, Remon Lim, Sherlyn Seo, Kevin Soo",Horror,Nusantara Seni Karya,[39],
2017,9,28,LuQman,Mahadi J. Murat,"Wan Hanafi Su, Raja Ilya, Josiah Hogan",Drama,[40],,
2017,9,28,The Farm: En Veettu Thottathil,Karthik Shamalan,"Jaya Ganason, Mohanaraj, Mahesan Poobalan, Yugendran Maniam, Haridhass",Horror,,,
